id,brand,model,year,engine_type,horsepower,price,transmission
1,Toyota,Corolla,2020,Petrol,132,20000,Automatic
2,Honda,Civic,2019,Petrol,158,22000,Manual
3,Ford,Focus,2018,Diesel,160,21000,Automatic
4,BMW,3 Series,2021,Petrol,255,40000,Automatic
5,Mercedes,C Class,2020,Diesel,231,42000,Automatic
6,Audi,A4,2019,Petrol,201,39000,Manual
7,Volkswagen,Passat,2018,Diesel,174,28000,Automatic
8,Hyundai,Elantra,2021,Petrol,147,21000,Automatic
9,Kia,Optima,2020,Petrol,185,23000,Automatic
10,Nissan,Altima,2019,Petrol,188,24000,Manual
11,Tesla,Model 3,2021,Electric,283,45000,Automatic
12,Chevrolet,Malibu,2020,Petrol,160,22000,Automatic
13,Ford,Fusion,2019,Hybrid,188,25000,Automatic
14,Honda,Accord,2021,Petrol,192,30000,Automatic
15,Toyota,Camry,2020,Hybrid,203,31000,Automatic
16,BMW,5 Series,2019,Diesel,248,50000,Automatic
17,Mercedes,E Class,2020,Petrol,255,52000,Automatic
18,Audi,A6,2021,Petrol,335,55000,Automatic
19,Volkswagen,Jetta,2019,Diesel,147,21000,Manual
20,Hyundai,Sonata,2020,Petrol,191,25000,Automatic
21,Kia,Stinger,2021,Petrol,365,45000,Automatic
22,Nissan,Maxima,2020,Petrol,300,36000,Automatic
23,Tesla,Model S,2021,Electric,670,90000,Automatic
24,Chevrolet,Impala,2019,Petrol,305,40000,Automatic
25,Ford,Mustang,2021,Petrol,450,55000,Manual
26,Honda,Fit,2020,Petrol,130,16000,Manual
27,Toyota,Yaris,2019,Petrol,106,15000,Automatic
28,BMW,X3,2021,Diesel,248,42000,Automatic
29,Mercedes,GLC,2020,Petrol,255,43000,Automatic
30,Audi,Q5,2019,Diesel,248,45000,Automatic
31,Volkswagen,Tiguan,2021,Petrol,184,36000,Automatic
32,Hyundai,Tucson,2020,Petrol,181,28000,Automatic
33,Kia,Sportage,2019,Diesel,175,27000,Semi-auto
34,Nissan,Rogue,2021,Petrol,181,30000,Automatic
35,Tesla,Model X,2021,Electric,670,95000,Automatic
36,Chevrolet,Equinox,2020,Petrol,170,26000,Automatic
37,Ford,Explorer,2019,Petrol,300,42000,Automatic
38,Honda,CR-V,2021,Hybrid,212,35000,Automatic
39,Toyota,RAV4,2020,Petrol,203,32000,Automatic
40,BMW,X5,2021,Diesel,335,60000,Automatic
41,Mercedes,GLE,2020,Petrol,362,65000,Automatic
42,Audi,Q7,2019,Diesel,335,58000,Automatic
